index,author,review_source,title,season,release_date,review_length
879,Ellen Gray,Philadelphia Inquirer,Better Call Saul,2.0,15-Feb-16,394
880,Tim Goodman,The Hollywood Reporter,Better Call Saul,2.0,15-Feb-16,408
881,Allison Keene,Collider,Better Call Saul,2.0,15-Feb-16,338
882,Ed Bark,Uncle Barky,Better Call Saul,2.0,15-Feb-16,315
883,Alan Sepinwall,Hitfix,Better Call Saul,2.0,15-Feb-16,517
884,Willa Paskin,Slate,Better Call Saul,2.0,15-Feb-16,362
885,Sam Woolf,We Got This Covered,Better Call Saul,2.0,15-Feb-16,338
886,Nick Allen,RogerEbert.com,"McCartney 3,2,1",1.0,16-Jul-21,535
887,Steve Greene,IndieWire,"McCartney 3,2,1",1.0,16-Jul-21,371
888,Johnny Loftus,Decider,"McCartney 3,2,1",1.0,16-Jul-21,313
889,Rob Sheffield,Rolling Stone,"McCartney 3,2,1",1.0,16-Jul-21,350
890,Clint Worthington,Consequence,"McCartney 3,2,1",1.0,16-Jul-21,316
891,Stuart Levine,Variety,The Shield,7.0,2-Sep-08,442
892,Tambay Obenson,IndieWire,P-Valley,1.0,12-Jul-20,323
893,Kay B,Collider,P-Valley,1.0,12-Jul-20,406
894,Aramide Tinubu,The A.V. Club,P-Valley,1.0,12-Jul-20,340
895,Melanie McFarland,Salon,P-Valley,1.0,12-Jul-20,478
896,Adrian Horton,The Guardian,P-Valley,1.0,12-Jul-20,344
897,Inkoo Kang,The Hollywood Reporter,P-Valley,1.0,12-Jul-20,302
898,Hank Stuever,Washington Post,P-Valley,1.0,12-Jul-20,342
899,Daniel D'Addario,Variety,P-Valley,1.0,12-Jul-20,329
900,Nancy DeWolf Smith,Wall Street Journal,Big Love,5.0,16-Jan-11,323
901,James Poniewozik,Time,Big Love,5.0,16-Jan-11,315
902,Alan Sepinwall,Hitfix,Lady Dynamite,1.0,20-May-16,363
903,Robert Lloyd,Los Angeles Times,Lady Dynamite,1.0,20-May-16,645
904,Judy Berman,Time,Unorthodox,1.0,26-Mar-20,428
905,Nick Allen,RogerEbert.com,Unorthodox,1.0,26-Mar-20,430
906,Jen Chaney,New York Magazine (Vulture),Unorthodox,1.0,26-Mar-20,337
907,Hank Stuever,Washington Post,Unorthodox,1.0,26-Mar-20,532
908,Eric Kohn,IndieWire,Unorthodox,1.0,26-Mar-20,433
909,Dan Fienberg,The Hollywood Reporter,Unorthodox,1.0,26-Mar-20,458
910,Mark Dawidziak,Cleveland Plain Dealer,Rescue Me,4.0,13-Jun-07,330
911,Mike Duffy,Detroit Free Press,Rescue Me,4.0,13-Jun-07,366
912,Alan Sepinwall,Newark Star-Ledger,Rescue Me,4.0,13-Jun-07,327
913,David Craig,Radio Times,Heartstopper,1.0,22-Apr-22,305
914,Alex Zalben,Decider,Heartstopper,1.0,22-Apr-22,459
915,Helen Brown,The Telegraph,Heartstopper,1.0,22-Apr-22,366
916,Tim Goodman,The Hollywood Reporter,Outlander (2014),2.0,9-Apr-16,460
917,Ken Tucker,Yahoo TV,Silicon Valley,4.0,23-Apr-17,473
918,Jen Chaney,New York Magazine (Vulture),Silicon Valley,4.0,23-Apr-17,344
919,Tom Long,The Detroit News,The Missing,1.0,15-Nov-14,333
920,Melissa Maerz,Entertainment Weekly,The Missing,1.0,15-Nov-14,320
921,Lacy Baugher,Paste Magazine,Peaky Blinders,6.0,10-Jun-22,442
922,Zach Hollwedel,Under The Radar,The Affair,1.0,12-Oct-14,394
923,Diane Garrett,The Wrap,The Affair,1.0,12-Oct-14,308
924,Nancy DeWolf Smith,Wall Street Journal,The Affair,1.0,12-Oct-14,303
925,Kelly Lawler,USA Today,The Marvelous Mrs. Maisel,2.0,5-Dec-18,325
926,Kevin Fallon,The Daily Beast,The Marvelous Mrs. Maisel,2.0,5-Dec-18,343
927,Gwen Ihnat,The A.V. Club,The Marvelous Mrs. Maisel,2.0,5-Dec-18,365
928,Allison Shoemaker,RogerEbert.com,The Marvelous Mrs. Maisel,2.0,5-Dec-18,382
929,Ed Bark,Uncle Barky,The Marvelous Mrs. Maisel,2.0,5-Dec-18,317
930,Kristen Baldwin,Entertainment Weekly,The Marvelous Mrs. Maisel,2.0,5-Dec-18,310
931,Jen Chaney,New York Magazine (Vulture),The Marvelous Mrs. Maisel,2.0,5-Dec-18,323
932,Emily VanDerWerff,Vox.com,The Marvelous Mrs. Maisel,2.0,5-Dec-18,454
933,Alan Sepinwall,Rolling Stone,The Marvelous Mrs. Maisel,2.0,5-Dec-18,335
934,James Poniewozik,The New York Times,The Marvelous Mrs. Maisel,2.0,5-Dec-18,354
935,Ellen Gray,Philadelphia Daily News,Mad Men,7.0,13-Apr-14,311
936,Ed Cumming,The Independent,I Hate Suzie,1.0,19-Nov-20,312
937,Steve Greene,IndieWire,I Hate Suzie,1.0,19-Nov-20,515
938,Sonia Saraiya,Vanity Fair,I Hate Suzie,1.0,19-Nov-20,461
939,Chris Bennion,The Telegraph,I Hate Suzie,1.0,19-Nov-20,540
940,Lucy Mangan,The Guardian,I Hate Suzie,1.0,19-Nov-20,323
941,John J. O'Connor,The New York Times,House of Cards,1.0,18-Nov-90,457
942,Dorothy Rabinowitz,Wall Street Journal,House of Cards,1.0,18-Nov-90,438
943,Howard Rosenberg,Los Angeles Times,House of Cards,1.0,18-Nov-90,448
944,Richard Roeper,Chicago Sun-Times,Little America,1.0,17-Jan-20,404
945,Melanie McFarland,Salon,Little America,1.0,17-Jan-20,419
946,Lorraine Ali,Los Angeles Times,Little America,1.0,17-Jan-20,374
947,Hank Stuever,Washington Post,Little America,1.0,17-Jan-20,451
948,Caroline Framke,Variety,Little America,1.0,17-Jan-20,449
949,Lucy Mangan,The Guardian,Little America,1.0,17-Jan-20,321
950,Maureen Ryan,Chicago Tribune,In Treatment,2.0,5-Apr-09,407
951,Ellen Gray,Philadelphia Daily News,In Treatment,2.0,5-Apr-09,312
952,Brian Lowry,Variety,In Treatment,2.0,5-Apr-09,323
953,Dan Fienberg,The Hollywood Reporter,George Carlin's American Dream,1.0,20-May-22,364
954,Tim Lowery,The A.V. Club,George Carlin's American Dream,1.0,20-May-22,371
955,Richard Roeper,Chicago Sun-Times,George Carlin's American Dream,1.0,20-May-22,371
956,Matt Zoller Seitz,New York Magazine (Vulture),Watchmen (2019),1.0,20-Oct-19,556
957,Danette Chavez,The A.V. Club,Watchmen (2019),1.0,20-Oct-19,393
958,Richard Roeper,Chicago Sun-Times,Watchmen (2019),1.0,20-Oct-19,382
959,James Poniewozik,The New York Times,Watchmen (2019),1.0,20-Oct-19,408
960,Lucy Mangan,The Guardian,Watchmen (2019),1.0,20-Oct-19,517
961,Willa Paskin,Slate,Watchmen (2019),1.0,20-Oct-19,460
962,Steven Scaife,Slant Magazine,Watchmen (2019),1.0,20-Oct-19,439
963,Daniel D'Addario,Variety,Watchmen (2019),1.0,20-Oct-19,471
964,Darren Franich,Entertainment Weekly,Watchmen (2019),1.0,20-Oct-19,329
965,Sophie Gilbert,The Atlantic,Watchmen (2019),1.0,20-Oct-19,371
966,Melanie McFarland,Salon,Watchmen (2019),1.0,20-Oct-19,452
967,Terry Terrones,Colorado Springs Gazette,Watchmen (2019),1.0,20-Oct-19,432
968,Hank Stuever,Washington Post,Watchmen (2019),1.0,20-Oct-19,303
969,Mark Dawidziak,Cleveland Plain Dealer,Wonderland,1.0,30-Mar-00,496
970,James Poniewozik,Time,Wonderland,1.0,30-Mar-00,518
971,Tom Shales,Washington Post,Wonderland,1.0,30-Mar-00,359
972,Nick Schager,The Daily Beast,Mindhunter,2.0,16-Aug-19,464
973,Alan Sepinwall,Rolling Stone,Mindhunter,2.0,16-Aug-19,455
974,Joshua Kline,Collider,Mindhunter,2.0,16-Aug-19,393
975,Jack Seale,The Guardian,Mindhunter,2.0,16-Aug-19,323
976,Ken Tucker,Yahoo TV,American Crime,1.0,5-Mar-15,353
977,Robert Bianco,USA Today,American Crime,1.0,5-Mar-15,359
978,David Wiegand,San Francisco Chronicle,Broadchurch,3.0,28-Jun-17,348
979,David Wiegand,San Francisco Chronicle,American Crime,2.0,6-Jan-16,356
980,Daniel D'Addario,Time,American Crime,2.0,6-Jan-16,429
981,Brian Lowry,Variety,American Crime,2.0,6-Jan-16,329
982,Vicki Hyman,Newark Star-Ledger,American Crime,2.0,6-Jan-16,354
983,Robert Bianco,USA Today,American Crime,2.0,6-Jan-16,446
984,Matt Zoller Seitz,New York Magazine (Vulture),American Crime,2.0,6-Jan-16,379
985,John Anderson,Wall Street Journal,Wu-Tang Clan: Of Mics and Men,1.0,10-May-19,664
986,Dan Fienberg,The Hollywood Reporter,Wu-Tang Clan: Of Mics and Men,1.0,10-May-19,369
987,Jon Caramanica,The New York Times,Wu-Tang Clan: Of Mics and Men,1.0,10-May-19,461
988,Lorraine Ali,Los Angeles Times,Wu-Tang Clan: Of Mics and Men,1.0,10-May-19,300
989,Ben Travers,IndieWire,Wu-Tang Clan: Of Mics and Men,1.0,10-May-19,416
990,Brian Tallerico,RogerEbert.com,Wu-Tang Clan: Of Mics and Men,1.0,10-May-19,336
991,Kristi Turnquist,The Oregonian,The Crown,3.0,17-Nov-19,445
992,Judy Berman,Time,The Crown,3.0,17-Nov-19,437
993,MaryAnn Sleasman,TV Guide,The Crown,3.0,17-Nov-19,447
994,Matt Goldberg,Collider,The Crown,3.0,17-Nov-19,344
995,Alan Sepinwall,Rolling Stone,The Crown,3.0,17-Nov-19,427
996,Willa Paskin,Slate,The Crown,3.0,17-Nov-19,467
997,Robert Rorke,New York Post,The Crown,3.0,17-Nov-19,553
998,Brian Lowry,CNN,The Crown,3.0,17-Nov-19,309
999,Lucy Mangan,The Guardian,The Crown,3.0,17-Nov-19,361
1000,Kelly Lawler,USA Today,The Crown,3.0,17-Nov-19,466
1001,Melanie McFarland,Salon,The Crown,3.0,17-Nov-19,439
1002,Ann Donahue,IndieWire,The Crown,3.0,17-Nov-19,370
1003,Kevin Fallon,The Daily Beast,The Crown,3.0,17-Nov-19,554
1004,Caroline Framke,Variety,The Crown,3.0,17-Nov-19,558
1005,Matthew Gilbert,Boston Globe,The Crown,3.0,17-Nov-19,372
1006,Hank Stuever,Washington Post,The Crown,3.0,17-Nov-19,454
1007,Allison Shoemaker,RogerEbert.com,The Crown,3.0,17-Nov-19,384
1008,Robert Bianco,USA Today,Dear White People (2017),1.0,28-Apr-17,384
1009,David Wiegand,San Francisco Chronicle,Dear White People (2017),1.0,28-Apr-17,437
1010,Josh Bell,Las Vegas Weekly,Dear White People (2017),1.0,28-Apr-17,356
1011,Dave Nemetz,TVLine,Dear White People (2017),1.0,28-Apr-17,348
1012,Matt Zoller Seitz,New York Magazine (Vulture),Dear White People (2017),1.0,28-Apr-17,320
1013,Brian Lowry,CNN,Dear White People (2017),1.0,28-Apr-17,363
1014,John Anderson,Wall Street Journal,Dear White People (2017),1.0,28-Apr-17,358
1015,Maureen Ryan,Variety,Dear White People (2017),1.0,28-Apr-17,414
1016,Ben Travers,IndieWire,Dear White People (2017),1.0,28-Apr-17,361
1017,Dorothy Rabinowitz,Wall Street Journal,A Very English Scandal,1.0,20-May-18,323
1018,Daniel D'Addario,Variety,A Very English Scandal,1.0,20-May-18,354
1019,Robert Lloyd,Los Angeles Times,A Very English Scandal,1.0,20-May-18,388
1020,Sophie Gilbert,The Atlantic,A Very English Scandal,1.0,20-May-18,397
1021,Darren Franich,Entertainment Weekly,Insecure,3.0,12-Aug-18,436
1022,Ben Travers,IndieWire,Insecure,3.0,12-Aug-18,322
1023,Sonia Saraiya,Salon,Going Clear: Scientology and the Prison of Belief,1.0,29-Mar-15,417
1024,Ken Tucker,Yahoo TV,Going Clear: Scientology and the Prison of Belief,1.0,29-Mar-15,423
1025,Robert Lloyd,Los Angeles Times,Going Clear: Scientology and the Prison of Belief,1.0,29-Mar-15,401
1026,Sarah Rodman,Boston Globe,Going Clear: Scientology and the Prison of Belief,1.0,29-Mar-15,411
1027,Kevin Fallon,The Daily Beast,Full Frontal with Samantha Bee,1.0,8-Feb-16,325
1028,Willa Paskin,Slate,Full Frontal with Samantha Bee,1.0,8-Feb-16,432
1029,David Sims,The Atlantic,Full Frontal with Samantha Bee,1.0,8-Feb-16,429
1030,Danette Chavez,The A.V. Club,Full Frontal with Samantha Bee,1.0,8-Feb-16,381
1031,Tom Shales,Washington Post,EZ Streets,1.0,27-Oct-96,361
1032,Howard Rosenberg,Los Angeles Times,EZ Streets,1.0,27-Oct-96,415
1033,Alan Sepinwall,Newark Star-Ledger,EZ Streets,1.0,27-Oct-96,368
1034,Lon Grahnke,Chicago Sun-Times,EZ Streets,1.0,27-Oct-96,367
1035,Ken Tucker,Yahoo TV,Hannibal,3.0,4-Jun-15,361
1036,Kyle Turner,Under The Radar,Hannibal,3.0,4-Jun-15,372
1037,Robert Bianco,USA Today,Sports Night,1.0,22-Sep-98,392
1038,Rob Owen,Pittsburgh Post-Gazette,Sports Night,1.0,22-Sep-98,360
1039,John Levesque,Seattle Post-Intelligencer,Sports Night,1.0,22-Sep-98,357
1040,Matthew Gilbert,Boston Globe,Sports Night,1.0,22-Sep-98,419
1041,Ray Richmond,Variety,Sports Night,1.0,22-Sep-98,466
1042,Alan Sepinwall,Newark Star-Ledger,Sports Night,1.0,22-Sep-98,342
1043,Robert P. Laurence,San Diego Union-Tribune,Sports Night,1.0,22-Sep-98,327
1044,Carol Midgley,The Times,Back,2.0,1-Apr-21,303
1045,Allison Keene,Paste Magazine,Back,2.0,1-Apr-21,323
1046,Sam Adams,Slate,The Good Fight,4.0,9-Apr-20,303
1047,Brian Lowry,CNN,The Good Fight,4.0,9-Apr-20,391
1048,Heather Havrilesky,Salon,Breaking Bad,2.0,8-Mar-09,303
1049,Rob Owen,Pittsburgh Post-Gazette,Breaking Bad,2.0,8-Mar-09,374
1050,Michael Starr,New York Post,Breaking Bad,2.0,8-Mar-09,338
1051,Jen Chaney,New York Magazine (Vulture),Barry,1.0,25-Mar-18,326
1052,Willa Paskin,Slate,Barry,1.0,25-Mar-18,470
1053,Ben Travers,IndieWire,Barry,1.0,25-Mar-18,330
1054,Danette Chavez,The A.V. Club,Barry,1.0,25-Mar-18,378
1055,Kathryn VanArendonk,New York Magazine (Vulture),How to With John Wilson,1.0,23-Oct-20,413
1056,Steve Greene,IndieWire,How to With John Wilson,1.0,23-Oct-20,497
1057,Ashlie D. Stevens,Salon,How to With John Wilson,1.0,23-Oct-20,460
1058,Dan Fienberg,The Hollywood Reporter,How to With John Wilson,1.0,23-Oct-20,353
1059,James Poniewozik,Time,Party Down,2.0,23-Apr-10,314
1060,Molly Eichel,Philadelphia Inquirer,Making a Murderer,1.0,18-Dec-15,309
1061,Sonia Saraiya,Salon,Making a Murderer,1.0,18-Dec-15,412
1062,David Wiegand,San Francisco Chronicle,Making a Murderer,1.0,18-Dec-15,367
1063,Brian Tallerico,RogerEbert.com,Making a Murderer,1.0,18-Dec-15,368
1064,Emily VanDerWerff,Vox.com,Making a Murderer,1.0,18-Dec-15,346
1065,Isaac Feldberg,We Got This Covered,Making a Murderer,1.0,18-Dec-15,422
1066,Mary McNamara,Los Angeles Times,Making a Murderer,1.0,18-Dec-15,407
1067,Rodrigo Perez,The Playlist,Irma Vep,1.0,6-Jun-22,376
1068,Steve Greene,IndieWire,Irma Vep,1.0,6-Jun-22,356
1069,Brian Tallerico,RogerEbert.com,Irma Vep,1.0,6-Jun-22,342
1070,David Cote,The A.V. Club,Irma Vep,1.0,6-Jun-22,350
1071,Max Covill,Paste Magazine,Irma Vep,1.0,6-Jun-22,369
1072,John Anderson,Wall Street Journal,Irma Vep,1.0,6-Jun-22,475
1073,Nick Schager,The Daily Beast,Irma Vep,1.0,6-Jun-22,570
1074,Dan Fienberg,The Hollywood Reporter,Irma Vep,1.0,6-Jun-22,482
1075,Allison Keene,Paste Magazine,Evil,2.0,20-Jun-21,400
1076,Daniel Schroeder,Slate,Evil,2.0,20-Jun-21,436
1077,Rob Owen,Pittsburgh Tribune-Review,Evil,2.0,20-Jun-21,380
1078,Dan Fienberg,The Hollywood Reporter,Insecure,1.0,9-Oct-16,436
1079,Glenn Garvin,Reason.com,Insecure,1.0,9-Oct-16,473
1080,Josh Bell,Las Vegas Weekly,Insecure,1.0,9-Oct-16,352
1081,Ben Travers,IndieWire,Insecure,1.0,9-Oct-16,320
1082,Sonia Saraiya,Variety,Insecure,1.0,9-Oct-16,378
1083,Kristen Lopez,IndieWire,One Day at a Time (2017),4.0,24-Mar-20,382
1084,Niv M. Sultan,Slant Magazine,One Day at a Time (2017),4.0,24-Mar-20,327
1085,James Poniewozik,The New York Times,One Day at a Time (2017),4.0,24-Mar-20,391
1086,Inkoo Kang,The Hollywood Reporter,One Day at a Time (2017),4.0,24-Mar-20,484
1087,Allison Shoemaker,RogerEbert.com,One Day at a Time (2017),4.0,24-Mar-20,350
1088,John Anderson,Wall Street Journal,Too Close,1.0,20-May-21,393
1089,Ed Cumming,The Independent,Too Close,1.0,20-May-21,329
1090,Roxana Hadadi,RogerEbert.com,Too Close,1.0,20-May-21,472
1091,Rick Cogan,Chicago Tribune,NYPD Blue,1.0,21-Sep-93,443
1092,Tom Shales,Washington Post,NYPD Blue,1.0,21-Sep-93,334
1093,John J. O'Connor,The New York Times,NYPD Blue,1.0,21-Sep-93,389
1094,Robert P. Laurence,San Diego Union-Tribune,NYPD Blue,1.0,21-Sep-93,400
1095,Jonathan Storm,Philadelphia Inquirer,NYPD Blue,1.0,21-Sep-93,313
1096,MIles Beller,The Hollywood Reporter,NYPD Blue,1.0,21-Sep-93,344
1097,Marilynne S. Mason,Christian Science Monitor,NYPD Blue,1.0,21-Sep-93,527
1098,Dan Fienberg,The Hollywood Reporter,Dave,2.0,16-Jun-21,423
1099,Brian Tallerico,RogerEbert.com,Dave,2.0,16-Jun-21,479
1100,Bruce Miller,Sioux City Journal,Dave,2.0,16-Jun-21,336
1101,David Wiegand,San Francisco Chronicle,Silicon Valley,1.0,6-Apr-14,320
1102,John Anderson,Wall Street Journal,Silicon Valley,1.0,6-Apr-14,346
1103,Maureen Ryan,The Huffington Post,Silicon Valley,1.0,6-Apr-14,302
1104,Chuck Bowen,Slant Magazine,Silicon Valley,1.0,6-Apr-14,415
1105,Ellen Gray,Philadelphia Daily News,Justified,5.0,7-Jan-14,370
1106,Rob Owen,Pittsburgh Post-Gazette,Justified,5.0,7-Jan-14,371
1107,Rick Porter,Zap2it (Inside the Box),Justified,5.0,7-Jan-14,300
1108,Rob Owen,Pittsburgh Post-Gazette,Pushing Daisies,2.0,1-Oct-08,332
1109,Ken Tucker,Entertainment Weekly,Pushing Daisies,2.0,1-Oct-08,318
1110,James Poniewozik,The New York Times,We Need to Talk About Cosby,1.0,30-Jan-22,483
1111,Ross Bonaime,Collider,We Need to Talk About Cosby,1.0,30-Jan-22,415
1112,Alan Sepinwall,Rolling Stone,We Need to Talk About Cosby,1.0,30-Jan-22,304
1113,Kevin Fallon,The Daily Beast,We Need to Talk About Cosby,1.0,30-Jan-22,461
1114,Dan Fienberg,The Hollywood Reporter,We Need to Talk About Cosby,1.0,30-Jan-22,500
1115,Ed Power,The Telegraph,We Need to Talk About Cosby,1.0,30-Jan-22,320
1116,Jen Chaney,New York Magazine (Vulture),We Need to Talk About Cosby,1.0,30-Jan-22,388
1117,Roger Moore,Movie Nation,We Need to Talk About Cosby,1.0,30-Jan-22,489
1118,Doreen St. Félix,The New Yorker,We Need to Talk About Cosby,1.0,30-Jan-22,482
1119,John Haslett,The Globe and Mail (Toronto),The Kids in the Hall,1.0,24-Oct-89,368
1120,Don Shirley,Los Angeles Times,The Kids in the Hall,1.0,24-Oct-89,430
1121,Tom Shales,Washington Post,L.A. Law,1.0,15-Sep-86,506
1122,Steve Sonsky,Miami Herald,L.A. Law,1.0,15-Sep-86,481
1123,Judy Berman,Time,Our Boys,1.0,12-Aug-19,465
1124,Aaron Barnhart,Primetimer,Our Boys,1.0,12-Aug-19,435
1125,Brian Lowry,CNN,Our Boys,1.0,12-Aug-19,396
1126,Daniel D'Addario,Variety,Our Boys,1.0,12-Aug-19,454
1127,Emily Nussbaum,The New Yorker,Our Boys,1.0,12-Aug-19,368
1128,Dorothy Rabinowitz,Wall Street Journal,Our Boys,1.0,12-Aug-19,347
1129,Robyn Bahr,The Hollywood Reporter,Our Boys,1.0,12-Aug-19,475
1130,David Wiegand,San Francisco Chronicle,Downton Abbey,3.0,16-Sep-12,317
1131,Clint Worthington,Consequence,Reservation Dogs,1.0,9-Aug-21,360
1132,Kathryn VanArendonk,New York Magazine (Vulture),Reservation Dogs,1.0,9-Aug-21,318
1133,Joel Keller,Decider,Reservation Dogs,1.0,9-Aug-21,327
1134,Inkoo Kang,Washington Post,Reservation Dogs,1.0,9-Aug-21,342
1135,Shea Vassar,RogerEbert.com,Reservation Dogs,1.0,9-Aug-21,348
1136,Dan Fienberg,The Hollywood Reporter,Reservation Dogs,1.0,9-Aug-21,380
1137,Nina Metz,Chicago Tribune,Reservation Dogs,1.0,9-Aug-21,445
1138,Kayla Kumari Upadhyaya,The A.V. Club,Feel Good (2020),1.0,19-Mar-20,347
1139,Bessie Yuill,The Independent,Feel Good (2020),1.0,19-Mar-20,414
1140,Lucy Mangan,The Guardian,Feel Good (2020),1.0,19-Mar-20,417
1141,Verne Gay,Newsday,Parks and Recreation,3.0,20-Jan-11,304
1142,Alan Sepinwall,Hitfix,Parks and Recreation,3.0,20-Jan-11,350
1143,Peter Swanson,Slant Magazine,Parks and Recreation,3.0,20-Jan-11,356
1144,Ken Tucker,Yahoo TV,Orange is the New Black,3.0,11-Jun-15,427
1145,Willa Paskin,Slate,Orange is the New Black,3.0,11-Jun-15,336
1146,James Poniewozik,Time,Orange is the New Black,3.0,11-Jun-15,347
1147,Kevin Fallon,The Daily Beast,Orange is the New Black,3.0,11-Jun-15,354
1148,Sophie Gilbert,The Atlantic,Killing Eve,1.0,8-Apr-18,360
1149,Kelly Lawler,USA Today,Killing Eve,1.0,8-Apr-18,407
1150,Allison Keene,Collider,Killing Eve,1.0,8-Apr-18,339
1151,Melanie McFarland,Salon,Killing Eve,1.0,8-Apr-18,328
1152,Tim Goodman,The Hollywood Reporter,Killing Eve,1.0,8-Apr-18,482
1153,Mike Hale,The New York Times,Killing Eve,1.0,8-Apr-18,390
1154,Roxana Hadadi,The Playlist,We Are Lady Parts,1.0,3-Jun-21,326
1155,Jen Chaney,New York Magazine (Vulture),We Are Lady Parts,1.0,3-Jun-21,301
1156,Matthew Gilbert,Boston Globe,We Are Lady Parts,1.0,3-Jun-21,404
1157,Lovia Gyarkye,The Hollywood Reporter,We Are Lady Parts,1.0,3-Jun-21,429
1158,Liz Shannon Miller,Collider,We Are Lady Parts,1.0,3-Jun-21,332
1159,Robert Lloyd,Los Angeles Times,National Treasure (2017),1.0,1-Mar-17,389
1160,Nick Schager,The Daily Beast,We Own This City,1.0,25-Apr-22,604
1161,Steve Greene,IndieWire,We Own This City,1.0,25-Apr-22,464
1162,Joshua Alston,Variety,We Own This City,1.0,25-Apr-22,588
1163,Jason Bailey,The Playlist,We Own This City,1.0,25-Apr-22,562
1164,Jen Chaney,New York Magazine (Vulture),We Own This City,1.0,25-Apr-22,478
1165,James Poniewozik,The New York Times,We Own This City,1.0,25-Apr-22,412
1166,Alan Sepinwall,Rolling Stone,We Own This City,1.0,25-Apr-22,388
1167,Tom Long,The Detroit News,We Own This City,1.0,25-Apr-22,358
1168,Maggie Boccella,Collider,We Own This City,1.0,25-Apr-22,531
1169,Ken Tucker,Entertainment Weekly,24,2.0,29-Oct-02,357
1170,Terry Kelleher,People Weekly,24,2.0,29-Oct-02,315
1171,Steve Johnson,Chicago Tribune,24,2.0,29-Oct-02,369
1172,Dan Fienberg,The Hollywood Reporter,Los Espookys,1.0,14-Jun-19,422
1173,Erik Adams,The A.V. Club,Los Espookys,1.0,14-Jun-19,328
1174,Kristen Baldwin,Entertainment Weekly,Los Espookys,1.0,14-Jun-19,314
1175,Kristi Turnquist,The Oregonian,Roots (2016),1.0,30-May-16,428
1176,Gail Pennington,St. Louis Post-Dispatch,Roots (2016),1.0,30-May-16,359
1177,Alan Sepinwall,Hitfix,Roots (2016),1.0,30-May-16,387
1178,Jeff Jensen,Entertainment Weekly,Roots (2016),1.0,30-May-16,327
1179,Brian P. Kelly,Wall Street Journal,Roots (2016),1.0,30-May-16,463
1180,Verne Gay,Newsday,Roots (2016),1.0,30-May-16,398
1181,Andrew Crump,The Playlist,Sex Education,3.0,17-Sep-21,377
1182,Alan Sepinwall,Rolling Stone,Sex Education,3.0,17-Sep-21,309
1183,Ellen Gray,Philadelphia Daily News,Friday Night Lights,3.0,1-Oct-08,368
1184,Alan Sepinwall,Newark Star-Ledger,Friday Night Lights,3.0,1-Oct-08,329
1185,Cory Woodroof,The Playlist,Severance,1.0,18-Feb-22,403
1186,Robert Lloyd,Los Angeles Times,Severance,1.0,18-Feb-22,483
1187,Alan Sepinwall,Rolling Stone,Severance,1.0,18-Feb-22,341
1188,Richard Roeper,Chicago Sun-Times,Severance,1.0,18-Feb-22,344
1189,Kyle Mullin,Under The Radar,Severance,1.0,18-Feb-22,374
1190,Lucy Mangan,The Guardian,Severance,1.0,18-Feb-22,378
1191,Tom Long,The Detroit News,Severance,1.0,18-Feb-22,350
1192,Stephen Robinson,The A.V. Club,Severance,1.0,18-Feb-22,369
1193,Carly Lane,Collider,Severance,1.0,18-Feb-22,511
1194,Sara Smith,Kansas City Star,Mad Men,7.5,5-Apr-15,378
1195,Robert Bianco,USA Today,Mad Men,7.5,5-Apr-15,377
1196,Ellen Gray,Philadelphia Daily News,Mad Men,7.5,5-Apr-15,385
1197,Brian Lowry,Variety,Mad Men,7.5,5-Apr-15,336
1198,Brian Tallerico,RogerEbert.com,Mad Men,7.5,5-Apr-15,405
1199,Peter Swanson,Slant Magazine,Luther,1.0,4-May-10,378
1200,Robyn Bahr,The Hollywood Reporter,Random Acts Of Flyness,1.0,4-Aug-18,316
1201,Maya Phillips,Slate,Random Acts Of Flyness,1.0,4-Aug-18,548
1202,Richard Brody,The New Yorker,Random Acts Of Flyness,1.0,4-Aug-18,484
1203,Joshua Alston,The A.V. Club,Difficult People,2.0,12-Jul-16,300
1204,Willa Paskin,Slate,Cosmos: A Space-Time Odyssey,1.0,9-Mar-14,325
1205,Neil Genzlinger,The New York Times,Cosmos: A Space-Time Odyssey,1.0,9-Mar-14,362
1206,Matthew Gilbert,Boston Globe,Cosmos: A Space-Time Odyssey,1.0,9-Mar-14,376
1207,Tim Goodman,The Hollywood Reporter,Cosmos: A Space-Time Odyssey,1.0,9-Mar-14,371
1208,Ben Travers,IndieWire,Our Planet,1.0,5-Apr-19,358
1209,Allison Keene,Collider,Our Planet,1.0,5-Apr-19,360
1210,James Poniewozik,The New York Times,Our Planet,1.0,5-Apr-19,326
1211,Carol Midgley,The Times,Our Planet,1.0,5-Apr-19,335
1212,Matt Zoller Seitz,New York Magazine (Vulture),Our Planet,1.0,5-Apr-19,472
1213,Matt Roush,USA Today,Northern Exposure,2.0,8-Apr-91,309
1214,Hal Boedeker,Miami Herald,Northern Exposure,2.0,8-Apr-91,439
1215,Gregory Ellwood,The Playlist,Sex Education,2.0,17-Jan-20,395
1216,Sarah Larson,The New Yorker,Sex Education,2.0,17-Jan-20,453
1217,Alan Sepinwall,Rolling Stone,Sex Education,2.0,17-Jan-20,319
1218,David Wiegand,San Francisco Chronicle,Jackie Robinson,1.0,11-Apr-16,351
1219,Brian Lowry,Variety,Jackie Robinson,1.0,11-Apr-16,398
1220,Neil Genzlinger,The New York Times,Jackie Robinson,1.0,11-Apr-16,307
1221,Dan Fienberg,The Hollywood Reporter,The Good Fight,3.0,14-Mar-19,415
